0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label
-218.19833,35.00688,7.267718,22.445824,8.0192585,16.603193,-31.649733,-19.009064,5.7960362,-6.316206,-19.109306,-9.696853,2.3541176,0,0,0
-177.41222,100.614784,30.156956,18.982014,6.3738346,10.923126,0.673266,6.052856,-0.9452227,3.940612,-5.136929,-0.5477913,-2.8300622,0,0,0
-136.62527,99.05148,25.937092,40.82674,-4.3352613,10.000058,-29.850882,13.20932,-4.556548,-19.67942,-7.3705354,-12.408455,-3.5003433,0,0,0
-303.49756,150.29517,10.926701,17.032835,-10.251598,-9.118879,-6.824306,1.9037257,-12.919343,-7.0449076,-4.8062305,-9.639459,-0.36717436,0,0,0
-265.77777,126.12489,36.32605,23.206844,4.3284783,5.2615247,-12.750469,-20.111992,-17.442932,-11.620296,-9.743781,-3.338064,-10.176858,0,0,0
-227.62773,140.60547,2.4407518,11.70935,6.8104515,-17.3045,-18.964642,-13.186126,-10.530822,-11.055464,-31.42661,-6.2495327,7.6551967,0,0,0
-243.9911,157.82188,4.8880997,4.0371737,-18.673208,-22.08158,-5.937526,-4.318165,-8.568865,-7.923222,-6.08381,-8.587747,-5.197448,0,0,0
-40.068535,50.82431,17.706966,14.948843,7.9577627,11.921447,4.193862,7.370037,1.6901385,6.01084,1.1373546,6.1311846,0.6099818,0,0,0
-283.35248,131.77444,-13.061311,10.577615,-10.322586,-10.580811,-10.740105,-8.098524,-8.949171,-22.848532,-18.067575,-7.1364217,-6.443187,0,0,0
-256.72534,145.03595,44.84911,26.591913,-0.58074117,11.911888,0.48227644,-2.6956697,-10.4538965,-3.7814903,0.54073215,7.394224,-3.9627786,0,0,0
-275.16895,141.16815,21.5518,6.7306337,-3.4931145,11.693674,14.207123,17.046452,12.477786,3.084707,-8.615418,-7.3410673,-11.398644,0,0,0
-229.38718,125.489296,0.4037243,12.412478,9.070558,-7.294337,-17.972183,-7.265214,-1.6044978,-10.478931,-1.8250858,5.5208836,-7.680234,0,0,0
-185.39871,104.27325,14.462804,29.803535,3.9807935,4.951094,-16.72873,18.556679,-11.198046,0.051526193,-10.495316,-6.048955,-5.485051,0,0,0
-239.61017,133.88268,23.941833,15.734751,-23.503616,-7.9930253,-17.605846,-8.627629,-9.301824,-10.966832,-8.783847,-5.67027,-5.307743,0,0,0
-214.16437,165.74713,12.140184,19.27444,2.2475028,-8.078024,-23.978485,-20.574656,-19.84154,-14.508009,-8.978524,-4.881622,-2.604834,0,0,0
-190.7858,159.41396,-2.0222332,13.486569,-28.121046,-9.570469,-19.947626,-2.744336,-8.938536,-12.558437,-13.564226,-6.2752266,-4.9609995,0,0,0
-273.22266,125.866974,41.94528,44.725662,-6.5771465,-3.8386543,-7.613152,-3.9434307,-10.939982,-10.829692,-6.5150485,-5.4133754,-5.4358807,0,0,0
-215.94316,134.59657,34.310413,10.775548,-7.018703,10.768894,-16.065056,2.3277006,0.7497739,14.568034,-1.2195357,-9.216816,-2.319902,0,0,0
-250.30423,128.21236,10.076622,23.794817,0.9674913,-33.360004,-26.88025,-3.7931328,-8.774634,-7.284303,-9.304356,-8.811028,-6.0063205,0,0,0
